code,cname,pe,pb,mv
603156,养元饮品,11.42,2.42,23512871088.0
603162,海通发展,15.06,1.89,7295364590.0
002762,金发拉比,-341.95,2.32,1883413000.0
603931,格林达,21.96,2.27,3410452714.0
300722,新余国科,59.83,8.78,5227929907.0
300294,博雅生物,24.61,2.08,15551031080.0
600026,中远海能,11.67,1.71,60827399036.0
601009,南京银行,4.47,0.71,103644811080.0
600299,安迪苏,22.16,1.78,26926288781.0
000020,深华发Ａ,169.12,9.02,3400766336.0
605499,东鹏饮料,26.18,12.83,90626265600.0
603067,振华股份,10.76,1.77,5186874732.0
600536,中国软件,-52.09,12.75,28404192964.0
000692,惠天热电,-2.54,-12.57,1491932333.0
688656,浩欧博,36.06,1.81,1440882795.0
300236,上海新阳,76.08,2.35,8962708097.0
000007,全新好,268.0,12.88,1659486131.0
601077,渝农商行,3.73,0.45,54854310000.0
601038,一拖股份,10.2,2.55,18472728321.0
600741,华域汽车,8.67,0.86,49655402748.0
603979,金诚信,18.41,2.84,22565583529.0
605333,沪光股份,21.32,6.12,10875724417.0
688626,翔宇医疗,30.99,1.74,3510400000.0
600353,旭光电子,36.95,2.35,4155706595.0
300426,唐德影视,-31.23,30.59,2838064394.0
834033,康普化学,15.99,2.68,1913312115.0
002244,滨江集团,10.73,0.95,25016008876.0
603179,新泉股份,22.35,3.7,18356680391.0
603050,科林电气,21.5,3.75,6104290483.0
000983,山西焦煤,10.35,1.01,40704814593.0
600710,苏美达,9.39,1.54,10715345359.0
601607,上海医药,11.7,0.98,68823827811.0
830839,万通液压,11.56,2.13,1108699500.0
002179,中航光电,23.7,3.7,79084566685.0
600989,宝丰能源,16.19,2.67,106993722400.0
603636,南威软件,-21.21,1.91,4869224788.0
600262,北方股份,18.0,1.77,2696200000.0
601929,吉视传媒,-8.15,0.59,3699175458.0
002027,分众传媒,15.44,4.88,76976924540.0
300427,*ST红相,99.55,1.57,1735526967.0
301004,嘉益股份,14.79,6.48,9385629948.0
600153,建发股份,9.28,0.41,22250568768.0
600901,江苏金租,6.94,1.05,19922911930.0
838670,恒进感应,85.3,2.36,1027780000.0
603707,健友股份,26.35,3.54,21342532009.0
600548,深高速,13.99,1.23,21655049337.0
600039,四川路桥,7.53,1.09,48094756492.0
601336,新华保险,4.55,1.12,100823746112.0
600016,民生银行,3.26,0.27,146671101982.0
300339,润和软件,95.18,4.74,16135283639.0
873726,卓兆点胶,-50.09,2.13,1204893971.0
003031,中瓷电子,37.19,2.76,15791360594.0
300538,同益股份,247.15,2.32,2472273407.0
301395,仁信新材,39.61,1.2,1840194160.0
600036,招商银行,5.21,0.81,778536633703.0
600018,上港集团,7.93,1.04,133418149418.0
838030,德众汽车,135.65,1.32,616996899.0
000039,中集集团,21.55,0.81,37316241064.0
601633,长城汽车,14.07,2.71,199256489390.0
603868,飞科电器,22.6,4.94,14261544000.0
000656,*ST金科,-0.83,-21.71,6300864663.0
603392,万泰生物,166.52,6.91,86749468613.0
601939,建设银行,5.46,0.59,1795078818349.0
002786,银宝山新,-28.99,9.76,4158184680.0
002430,杭氧股份,18.92,1.91,16540429141.0
601319,中国人保,5.86,1.05,265786183404.0
688037,芯源微,76.41,4.69,11635797091.0
301337,亚华电子,-104.82,2.37,2662310000.0
002035,华帝股份,8.62,1.44,5162210534.0
002847,盐津铺子,17.32,7.77,11060651185.0
002228,合兴包装,17.16,0.97,3020402028.0
603738,泰晶科技,41.92,2.76,4812029462.0
000766,通化金马,530.21,5.67,13221647592.0
603638,艾迪精密,31.87,3.93,12524724945.0
002818,富森美,12.35,1.46,8390224717.0
000951,中国重汽,13.04,1.09,16130956313.0
600362,江西铜业,8.97,0.87,64891549050.0
600099,林海股份,96.1,3.18,1645591200.0
603811,诚意药业,13.4,1.7,2048925043.0
001387,雪祺电气,28.74,1.93,2241906680.0
600941,中国移动,13.52,1.61,2168056082500.0
300347,泰格医药,43.33,2.06,42711160387.0
300200,高盟新材,16.16,1.75,2736679858.0
603939,益丰药房,13.6,2.17,21690783097.0
